Country/Region,Mes,Año,Confirmed,Deaths,Recovered
Mexico,agosto,2020,1967,130,1412
Mexico,agosto,2020,2323,236,1569
Mexico,agosto,2020,4369,613,2902
Mexico,agosto,2020,1218,158,816
Mexico,agosto,2020,2197,422,1504
Mexico,agosto,2020,1301,69,886
Mexico,agosto,2020,4762,732,3376
Mexico,agosto,2020,3049,180,2514
Mexico,agosto,2020,5667,665,4004
Mexico,agosto,2020,2305,158,1704
Mexico,agosto,2020,1413,192,965
Mexico,agosto,2020,5283,774,3846
Mexico,agosto,2020,2150,211,1637
Mexico,agosto,2020,388,46,254
Mexico,septiembre,2020,1222,56,835
Mexico,septiembre,2020,6297,1302,4425
Mexico,septiembre,2020,812,47,633
Mexico,septiembre,2020,814,111,565
Mexico,septiembre,2020,2779,221,1906
